G2,Ἀαρών
G3586,ξύλον-6
G3598,ὁδός-3
G3607,ὀθόνη
G3608,ὀθόνιον
G3609,οἰκειος
G3610,ὀικέτης
G3614,οἰκία
G3619,οἰκοδομή-2
G3622,οἰκονομία
G3623,οἰκονόμος
G3625,οἰκουμένη
G3628,οἰκτιρμός
G3629,οἰκτίρμων
G3631,οἶνος νέος
G3640,ὀλιγοπιστος
G3646,ὁλοκαύτωμα
G3682,Ὀνήσιμος
G3683,Ὀνησίφορος
G3686,τὸ ὄνομα
G3688,ὄνος
G3690,ὄξος
G3696,ὅπλον-2
G3727,ὅρκος
G3732,ὄρνεον
G3733,ὄρνις
G3741,ὅσιος-2
G3742,ὁσιότης
G3770,οὐράνιος
G3771,οὐρανόθεν
G3772,οὐρανός
G3781,ὀφειλέτης-3
G3782,ὀφειλή-2
G3783,ὀφείλημα-2
G3784,ὀφείλω-3
G3787,ὀφθαλμοδουλία
G3789,ὄφις
G3795,ὀψάριον
G3803,παγίς
G3814,παιδίσκη
G3816,παῖς-2
G3824,παλιγγενεσία
G3828,Παμφυλία
G3833,πανοπλία
G3841,παντοκράτωρ
G3850,παραβολή
G3857,παράδεισος
G3862,παραδοσις
G3870,παρακαλέω-2
G3874,παράκλησις-2
G3875,παράκλητος
G3900,παράπτωμα
G3925,παρεμβολή
G3933,παρθένος
G3957,πάσχα-2
G3962,πατήρ
G3972,Παῦλος-2
G3976,πέδη
G3982,πείθω-2
G3985,πειράζω-2
G3986,πειρασμός
G4010,Πέργαμος
G4011,Πέργη
G4018,περιβόλαιον
G4021,τὰ περίεργα
G4030,περικεφαλαία
G4043,περιπατέω
G4058,περιστερά
G4059,περιτέμνω
G4061,περιτομή
G4071,πετεινόν
G4074,Πέτρος
G4079,πηδάλιον
G4082,πήρα
G4091,Πιλᾶτος
G4094,πίναξ
G4099,Πισίδιος
G4100,πιστεύω
G4101,πιστικός
G4102,πίστις-2
G4103,πιστός
G4109,πλάξ
G4135,πληροφορέω
G4136,πληροφορία
G4137,πληρόω-2
G4142,πλοιάριον
G4143,πλοῖον
G4151,πνεῦμα-3
G4152,πνευματικός
G4153,πνευματικῶς
G4167,ποίμνη
G4168,ποίμνιον
G4176,πολιτεύομαι
G4190,πονηρός
G4194,Πόντιος
G4195,Πόντος
G4202,πορνεία
G4203,πορνεύω
G4209,πορφύρα
G4232,πραιτώριον
G4244,πρεσβυτέριον
G4245,πρεσβύτερος
G4251,Πρίσκα
G4263,πρόβατον
G4279,προεπαγγέλλομαι
G4335,προσευχή
G4336,προσεύχομαι
G4339,προσήλυτος
G4348,πρόσκομμα
G4350,προσκόπτω
G4352,προσκυνέω
G4374,προσφέρω
G4376,προσφορά
G4382,προσωπολημψία
G4395,προφητεύω
G4396,προφήτης
