weight_lb,shipment_type,zone_A,zone_B,zone_C,zone_D,zone_E,zone_F,zone_G,zone_H,zone_I,zone_J,zone_K,zone_L,zone_M,zone_N
79.0,nondoc_or_doc_5lb_plus,707.73,818.41,1392.6,1528.31,2720.6,1398.75,1719.76,1353.63,1932.0,2934.55,1224.21,2556.62,1912.49,3013.54
80.0,nondoc_or_doc_5lb_plus,713.1,824.41,1407.68,1545.5,2751.8,1413.48,1736.08,1366.91,1952.31,2962.41,1240.32,2577.54,1933.35,3044.06
81.0,nondoc_or_doc_5lb_plus,718.47,830.41,1422.76,1562.69,2783.0,1428.21,1752.4,1380.19,1972.62,2990.27,1256.43,2598.46,1954.21,3074.58
82.0,nondoc_or_doc_5lb_plus,723.84,836.41,1437.84,1579.88,2814.2,1442.94,1768.72,1393.47,1992.93,3018.13,1272.54,2619.38,1975.07,3105.1
83.0,nondoc_or_doc_5lb_plus,729.21,842.41,1452.92,1597.07,2845.4,1457.67,1785.04,1406.75,2013.24,3045.99,1288.65,2640.3,1995.93,3135.62
84.0,nondoc_or_doc_5lb_plus,734.58,848.41,1468.0,1614.26,2876.6,1472.4,1801.36,1420.03,2033.55,3073.85,1304.76,2661.22,2016.79,3166.14
85.0,nondoc_or_doc_5lb_plus,739.95,854.41,1483.08,1631.45,2907.8,1487.13,1817.68,1433.31,2053.86,3101.71,1320.87,2682.14,2037.65,3196.66
86.0,nondoc_or_doc_5lb_plus,745.32,860.41,1498.16,1648.64,2939.0,1501.86,1834.0,1446.59,2074.17,3129.57,1336.98,2703.06,2058.51,3227.18
87.0,nondoc_or_doc_5lb_plus,750.69,866.41,1513.24,1665.83,2970.2,1516.59,1850.32,1459.87,2094.48,3157.43,1353.09,2723.98,2079.37,3257.7
88.0,nondoc_or_doc_5lb_plus,756.06,872.41,1528.32,1683.02,3001.4,1531.32,1866.64,1473.15,2114.79,3185.29,1369.2,2744.9,2100.23,3288.22
89.0,nondoc_or_doc_5lb_plus,761.43,878.41,1543.4,1700.21,3032.6,1546.05,1882.96,1486.43,2135.1,3213.15,1385.31,2765.82,2121.09,3318.74
90.0,nondoc_or_doc_5lb_plus,766.8,884.41,1558.48,1717.4,3063.8,1560.78,1899.28,1499.71,2155.41,3241.01,1401.42,2786.74,2141.95,3349.26
91.0,nondoc_or_doc_5lb_plus,772.17,890.41,1573.56,1734.59,3095.0,1575.51,1915.6,1512.99,2175.72,3268.87,1417.53,2807.66,2162.81,3379.78
92.0,nondoc_or_doc_5lb_plus,777.54,896.41,1588.64,1751.78,3126.2,1590.24,1931.92,1526.27,2196.03,3296.73,1433.64,2828.58,2183.67,3410.3
93.0,nondoc_or_doc_5lb_plus,782.91,902.41,1603.72,1768.97,3157.4,1604.97,1948.24,1539.55,2216.34,3324.59,1449.75,2849.5,2204.53,3440.82
94.0,nondoc_or_doc_5lb_plus,788.28,908.41,1618.8,1786.16,3188.6,1619.7,1964.56,1552.83,2236.65,3352.45,1465.86,2870.42,2225.39,3471.34
95.0,nondoc_or_doc_5lb_plus,793.65,914.41,1633.88,1803.35,3219.8,1634.43,1980.88,1566.11,2256.96,3380.31,1481.97,2891.34,2246.25,3501.86
96.0,nondoc_or_doc_5lb_plus,799.02,920.41,1648.96,1820.54,3251.0,1649.16,1997.2,1579.39,2277.27,3408.17,1498.08,2912.26,2267.11,3532.38
97.0,nondoc_or_doc_5lb_plus,804.39,926.41,1664.04,1837.73,3282.2,1663.89,2013.52,1592.67,2297.58,3436.03,1514.19,2933.18,2287.97,3562.9
98.0,nondoc_or_doc_5lb_plus,809.76,932.41,1679.12,1854.92,3313.4,1678.62,2029.84,1605.95,2317.89,3463.89,1530.3,2954.1,2308.83,3593.42
99.0,nondoc_or_doc_5lb_plus,815.13,938.41,1694.2,1872.11,3344.6,1693.35,2046.16,1619.23,2338.2,3491.75,1546.41,2975.02,2329.69,3623.94
100.0,nondoc_or_doc_5lb_plus,820.5,944.41,1709.28,1889.3,3375.8,1708.08,2062.48,1632.51,2358.51,3519.61,1562.52,2995.94,2350.55,3654.46
101.0,nondoc_or_doc_5lb_plus,828.66,953.08,1725.61,1908.84,3410.11,1723.33,2083.68,1649.32,2382.58,3551.89,1578.85,3024.52,2375.48,3689.4
102.0,nondoc_or_doc_5lb_plus,836.82,961.75,1741.94,1928.38,3444.42,1738.58,2104.88,1666.13,2406.65,3584.17,1595.18,3053.1,2400.41,3724.34
103.0,nondoc_or_doc_5lb_plus,844.98,970.42,1758.27,1947.92,3478.73,1753.83,2126.08,1682.94,2430.72,3616.45,1611.51,3081.68,2425.34,3759.28
104.0,nondoc_or_doc_5lb_plus,853.14,979.09,1774.6,1967.46,3513.04,1769.08,2147.28,1699.75,2454.79,3648.73,1627.84,3110.26,2450.27,3794.22
105.0,nondoc_or_doc_5lb_plus,861.3,987.76,1790.93,1987.0,3547.35,1784.33,2168.48,1716.56,2478.86,3681.01,1644.17,3138.84,2475.2,3829.16
106.0,nondoc_or_doc_5lb_plus,869.46,996.43,1807.26,2006.54,3581.66,1799.58,2189.68,1733.37,2502.93,3713.29,1660.5,3167.42,2500.13,3864.1
107.0,nondoc_or_doc_5lb_plus,877.62,1005.1,1823.59,2026.08,3615.97,1814.83,2210.88,1750.18,2527.0,3745.57,1676.83,3196.0,2525.06,3899.04
108.0,nondoc_or_doc_5lb_plus,885.78,1013.77,1839.92,2045.62,3650.28,1830.08,2232.08,1766.99,2551.07,3777.85,1693.16,3224.58,2549.99,3933.98
109.0,nondoc_or_doc_5lb_plus,893.94,1022.44,1856.25,2065.16,3684.59,1845.33,2253.28,1783.8,2575.14,3810.13,1709.49,3253.16,2574.92,3968.92
110.0,nondoc_or_doc_5lb_plus,902.1,1031.11,1872.58,2084.7,3718.9,1860.58,2274.48,1800.61,2599.21,3842.41,1725.82,3281.74,2599.85,4003.86
111.0,nondoc_or_doc_5lb_plus,910.26,1039.78,1888.91,2104.24,3753.21,1875.83,2295.68,1817.42,2623.28,3874.69,1742.15,3310.32,2624.78,4038.8
112.0,nondoc_or_doc_5lb_plus,918.42,1048.45,1905.24,2123.78,3787.52,1891.08,2316.88,1834.23,2647.35,3906.97,1758.48,3338.9,2649.71,4073.74
113.0,nondoc_or_doc_5lb_plus,926.58,1057.12,1921.57,2143.32,3821.83,1906.33,2338.08,1851.04,2671.42,3939.25,1774.81,3367.48,2674.64,4108.68
114.0,nondoc_or_doc_5lb_plus,934.74,1065.79,1937.9,2162.86,3856.14,1921.58,2359.28,1867.85,2695.49,3971.53,1791.14,3396.06,2699.57,4143.62
115.0,nondoc_or_doc_5lb_plus,942.9,1074.46,1954.23,2182.4,3890.45,1936.83,2380.48,1884.66,2719.56,4003.81,1807.47,3424.64,2724.5,4178.56
116.0,nondoc_or_doc_5lb_plus,951.06,1083.13,1970.56,2201.94,3924.76,1952.08,2401.68,1901.47,2743.63,4036.09,1823.8,3453.22,2749.43,4213.5
117.0,nondoc_or_doc_5lb_plus,959.22,1091.8,1986.89,2221.48,3959.07,1967.33,2422.88,1918.28,2767.7,4068.37,1840.13,3481.8,2774.36,4248.44
118.0,nondoc_or_doc_5lb_plus,967.38,1100.47,2003.22,2241.02,3993.38,1982.58,2444.08,1935.09,2791.77,4100.65,1856.46,3510.38,2799.29,4283.38
119.0,nondoc_or_doc_5lb_plus,975.54,1109.14,2019.55,2260.56,4027.69,1997.83,2465.28,1951.9,2815.84,4132.93,1872.79,3538.96,2824.22,4318.32
120.0,nondoc_or_doc_5lb_plus,983.7,1117.81,2035.88,2280.1,4062.0,2013.08,2486.48,1968.71,2839.91,4165.21,1889.12,3567.54,2849.15,4353.26
